Material,Hustota,Pisek,Prach,theta_r,theta_s,alpha,n,Ks
361,1400,30,0,0.1054,0.4746,0.0243,1.1881,14.14
362,1400,30,10,0.1007,0.4719,0.0224,1.2253,14.05
363,1400,30,20,0.0962,0.4658,0.0190,1.2846,13.96
364,1400,30,30,0.0895,0.4530,0.0145,1.3696,11.14
365,1400,30,40,0.0794,0.4319,0.0099,1.4853,9.77
366,1400,30,50,0.0640,0.4009,0.0066,1.6014,14.19
367,1400,30,60,0.0473,0.3746,0.0059,1.6426,32.11
368,1400,30,70,0.0335,0.3591,0.0083,1.5935,77.53

369,1400,40,0,0.1029,0.4714,0.0270,1.1989,17.12
370,1400,40,10,0.0964,0.4649,0.0231,1.2493,17.59
371,1400,40,20,0.0886,0.4533,0.0181,1.3267,14.74
372,1400,40,30,0.0778,0.4335,0.0132,1.4291,11.01
373,1400,40,40,0.0621,0.4027,0.0094,1.5294,13.69
374,1400,40,50,0.0433,0.3685,0.0083,1.5644,28.97
375,1400,40,60,0.0294,0.3454,0.0115,1.5148,70.32

376,1400,50,0,0.0972,0.4653,0.0282,1.2174,22.34
377,1400,50,10,0.0880,0.4553,0.0228,1.2862,21.81
378,1400,50,20,0.0769,0.4386,0.0177,1.3791,18.16
379,1400,50,30,0.0613,0.4120,0.0142,1.4626,20.37
380,1400,50,40,0.0415,0.3761,0.0136,1.4865,33.72
381,1400,50,50,0.0272,0.3464,0.0188,1.4445,69.51

382,1400,60,0,0.0882,0.4565,0.0269,1.2592,32.31
383,1400,60,10,0.0774,0.4439,0.0222,1.3508,32.70
384,1400,60,20,0.0621,0.4235,0.0204,1.4302,33.62
385,1400,60,30,0.0421,0.3925,0.0224,1.4505,49.15
386,1400,60,40,0.0269,0.3586,0.0310,1.4238,85.65

387,1400,70,0,0.0801,0.4466,0.0244,1.3576,48.33
388,1400,70,10,0.0655,0.4329,0.0246,1.4583,53.36
389,1400,70,20,0.0452,0.4095,0.0311,1.4957,73.75
390,1400,70,30,0.0291,0.3765,0.0436,1.5006,114.53

391,1400,80,0,0.0728,0.4381,0.0243,1.5937,89.37
392,1400,80,10,0.0517,0.4225,0.0332,1.7092,131.79
393,1400,80,20,0.0345,0.3949,0.0476,1.8000,200.34

394,1400,90,0,0.0633,0.4294,0.0281,2.3318,330.65
395,1400,90,10,0.0435,0.4085,0.0409,2.6769,540.86

396,1400,100,0,0.0554,0.4156,0.0317,4.5279,1636.27

%vG_hustota 1500
397,1500,0,0,0.1139,0.4436,0.0178,1.1753,6.62
398,1500,0,10,0.1070,0.4473,0.0178,1.1781,5.57
399,1500,0,20,0.1028,0.4529,0.0172,1.1981,4.66
400,1500,0,30,0.1001,0.4578,0.0165,1.2300,4.09
401,1500,0,40,0.0984,0.4602,0.0153,1.2737,3.78
402,1500,0,50,0.0963,0.4585,0.0130,1.3366,3.57
403,1500,0,60,0.0919,0.4520,0.0100,1.4232,3.82
404,1500,0,70,0.0844,0.4427,0.0075,1.5215,4.84
405,1500,0,80,0.0747,0.4378,0.0065,1.5913,8.00
406,1500,0,90,0.0616,0.4348,0.0069,1.6105,15.01
407,1500,0,100,0.0487,0.4333,0.092,1.6355,26.16

408,1500,10,0,0.1096,0.4463,0.0192,1.1667,8.02
409,1500,10,10,0.1028,0.4473,0.0187,1.1814,7.15
410,1500,10,20,0.0988,0.4494,0.0179,1.2111,6.23
411,1500,10,30,0.0963,0.4503,0.0166,1.2545,5.61
412,1500,10,40,0.0941,0.4470,0.0140,1.3190,5.02
413,1500,10,50,0.0898,0.4384,0.0106,1.4128,4.82
414,1500,10,60,0.0812,0.4231,0.0074,1.5285,6.06
415,1500,10,70,0.0699,0.4098,0.0058,1.6214,10.88
416,1500,10,80,0.0558,0.4016,0.0061,1.6364,23.07
417,1500,10,90,0.0423,0.3971,0.0087,1.6274,46.18

418,1500,20,0,0.1055,0.4458,0.0211,1.1696,9.53
419,1500,20,10,0.0994,0.4447,0.0205,1.1906,8.66
420,1500,20,20,0.0959,0.4440,0.0189,1.2300,7.75
